,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Total Cases/1 Million population,Deaths/1M pop,TotalTests,Tests/1M pop,Continent
USA,40520784,7766,662945,92,31201272,1437,8656567,25656,121584,1989,588598687,1766115,North America
India,32908089,5744,439965,49,32063616,7531,404508,8944,23575,315,526535068,377211,Asia
Brazil,20830712,0,582004,0,19801725,0,446983,8318,97191,2716,56897224,265470,South America
Russia,6975174,18856,185611,799,6236738,18690,552825,2300,47773,1271,180000000,1232812,Europe
UK,6862904,0,132920,0,5533227,0,1196757,1030,100477,1946,271963982,3981717,Europe
France,6799240,0,114680,0,6335183,24324,349377,2270,103896,1752,127464573,1947732,Europe
Turkey,6435773,0,57283,0,5872385,0,506105,633,75361,671,77045381,902173,Asia
Argentina,5195601,0,112195,0,4884418,0,198988,2497,113737,2456,22307283,488331,South America
Iran,5083133,27621,109549,561,4302011,32503,671573,7795,59627,1285,29227907,342853,Asia
Colombia,4913031,0,125097,0,4742640,0,45294,542,95368,2428,24268743,471084,South America
Spain,4871444,0,84640,0,4399864,0,386940,1491,104144,1809,60618810,1295939,Europe
Italy,4553241,0,129352,0,4286991,0,136898,555,75438,2143,84632503,1402182,Europe
Indonesia,4116890,7797,134930,574,3813643,15544,168317,0,14868,487,32833137,118572,Asia
Germany,3987108,3125,92805,11,3757600,6900,136703,1217,47411,1104,68329706,812506,Europe
Mexico,3387885,18138,261496,993,2727659,12616,398730,4798,25958,2004,9852284,75487,North America
Poland,2889773,349,75372,5,2657274,97,157127,58,76453,1994,19819235,524345,Europe
South Africa,2796405,0,82914,0,2568465,0,145026,546,46466,1378,16593467,275720,Africa
Ukraine,2293541,2693,53922,45,2210866,1112,28753,177,52815,1242,12055523,277611,Europe
Philippines,2040568,20310,33873,193,1847701,7710,158994,3050,18336,304,18963226,170402,Asia
Netherlands,1949195,2540,18026,9,1856839,2758,74330,214,113462,1049,16593808,965922,Europe
Iraq,1908079,5672,20994,60,1756586,7828,130499,940,46228,509,14470680,350591,Asia
Malaysia,1805382,19378,17521,330,1528672,22399,259189,975,54958,533,23162221,705080,Asia
Czechia,1680046,306,30405,1,1647382,7,2259,10,156542,2833,36219289,3374814,Europe
Chile,1639698,0,36995,0,1596763,0,5940,635,84923,1916,20382963,1055671,South America
Japan,1524679,18228,16184,61,1296746,18806,211749,2221,12098,128,22160932,175848,Asia
Bangladesh,1510283,3167,26432,70,1442582,4697,41269,1453,9065,159,9021102,54146,Asia
Canada,1507053,0,26991,0,1446567,0,33495,405,39525,708,40693199,1067249,North America
Thailand,1249140,14653,12374,271,1076966,18262,159800,5174,17844,177,8129670,116130,Asia
Belgium,1189710,2204,25392,10,1103638,0,60680,192,102133,2180,18779255,1612142,Europe
Pakistan,1171578,3787,26035,57,1055467,6595,90076,5606,5186,115,17931365,79378,Asia
Sweden,1130525,0,14651,0,1089055,852,26819,50,111131,1440,11757024,1155717,Europe
Romania,1103198,1520,34650,33,1057522,600,11026,345,57797,1815,11621866,608879,Europe
Israel,1101406,2679,7122,0,1002348,3013,91936,667,118101,764,19534264,2094603,Asia
Portugal,1044144,1822,17772,6,983063,2464,43309,136,102751,1749,17102741,1683028,Europe
Morocco,872351,0,12819,0,807433,0,52099,1161,23311,343,9060570,242120,Africa
Hungary,813040,247,30061,1,777988,79,4991,19,84414,3121,6606051,685871,Europe
Kazakhstan,803601,4930,9591,96,701641,10161,92369,221,42208,504,11575012,607958,Asia
Jordan,798984,0,10442,0,776925,0,11617,552,77409,1012,9316366,902614,Asia
Switzerland,788813,3121,11010,0,710815,1026,66988,272,90371,1261,9865479,1130242,Europe
Serbia,773426,3623,7339,17,724722,802,41365,87,88939,844,5074749,583563,Europe
Nepal,767271,1357,10809,23,723456,2274,33006,0,25792,363,3946189,132652,Asia
UAE,721308,978,2044,1,709659,1504,9605,0,71915,204,75586106,7535974,Asia
Austria,693416,1753,10785,7,665894,1312,16737,149,76481,1190,77537962,8552128,Europe
Cuba,672599,6927,5538,74,634872,7630,32189,415,59425,489,8100659,715699,North America
Tunisia,668051,0,23647,0,622353,0,22051,504,55842,1977,2616244,218692,Africa
Lebanon,604409,0,8070,0,556294,0,40045,54,89019,1189,4759054,700929,Asia
Greece,593668,0,13702,0,543570,0,36396,362,57285,1322,15731791,1518013,Europe
Georgia,559943,3034,7649,86,506486,3952,45808,0,140682,1922,8167255,2051971,Asia
Saudi Arabia,544985,174,8565,5,533632,202,2788,803,15375,242,27620409,779203,Asia
Ecuador,502146,0,32296,0,443880,0,25970,759,27965,1799,1772699,98725,South America
Vietnam,501649,14922,12476,338,270668,11344,218505,0,5100,127,16083797,163515,Asia
Bolivia,491759,419,18486,13,437636,1140,35637,220,41467,1559,2303209,194216,South America
Belarus,487017,1950,3814,11,479229,1547,3974,0,51560,404,7859365,832059,Europe
Guatemala,479376,0,12098,0,416180,0,51098,5,26192,661,2226033,121626,North America
Costa Rica,469565,0,5540,0,375472,0,88553,450,91204,1076,2006420,389709,North America
Bulgaria,459051,0,19001,0,407029,0,33021,333,66653,2759,4276501,620939,Europe
Paraguay,458716,0,15821,0,437843,0,5052,90,63403,2187,1781035,246172,South America
Panama,458638,0,7069,0,444476,0,7093,108,104376,1609,3686021,838860,North America
Sri Lanka,447757,0,9604,0,378168,0,59985,0,20808,446,4855036,225624,Asia
Azerbaijan,436257,3762,5760,38,377287,3812,53210,0,42578,562,4517734,440926,Asia
Kuwait,410072,0,2421,0,405470,0,2181,75,94392,557,3811460,877340,Asia
Myanmar,406099,0,15600,0,355764,0,34735,0,7406,284,3688810,67269,Asia
Slovakia,395532,232,12549,1,381335,84,1648,27,72405,2297,3336980,610862,Europe
Uruguay,385264,0,6034,0,377868,0,1362,15,110460,1730,3363136,964252,South America
Croatia,376417,816,8355,6,363906,597,4156,57,92359,2050,2573737,631498,Europe
Ireland,354236,0,5112,0,299198,884,49926,56,70815,1022,6415912,1282606,Europe
Dominican Republic,350789,0,4009,0,341683,0,5097,137,31962,365,1962204,178787,North America
Denmark,347909,697,2587,3,333484,1013,11838,26,59819,445,81474507,14008516,Europe
Palestine,347730,0,3699,0,320086,0,23945,52,66365,706,2210141,421808,Asia
Honduras,342508,990,8998,24,107516,55,225994,615,33950,892,988042,97937,North America
Venezuela,337359,0,4056,0,321264,0,12039,681,11903,143,3359014,118519,South America
Libya,313504,1388,4308,22,225676,1656,83520,0,44912,617,1542967,221041,Africa
Ethiopia,310994,0,4711,0,279448,0,26835,663,2629,40,3255321,27521,Africa
Oman,302466,0,4070,0,292181,0,6215,48,57525,774,1550000,294789,Asia
Lithuania,301167,819,4593,9,282242,563,14332,105,112470,1715,4466814,1668123,Europe
Egypt,289035,0,16755,0,240325,0,31955,90,2764,160,3068679,29341,Africa
Bahrain,272709,0,1388,0,270313,0,1008,1,154040,784,5967724,3370876,Asia
Slovenia,269248,610,4453,0,258465,334,6330,18,129491,2142,1457824,701122,Europe
Moldova,268892,0,6411,0,257984,0,4497,95,66839,1594,1583945,393724,Europe
S. Korea,257110,1709,2308,5,228618,2396,26184,367,5010,45,13286682,258895,Asia
Armenia,243981,595,4892,16,228214,488,10875,0,82156,1647,1560430,525446,Asia
