,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Total Cases/1 Million population,Deaths/1M pop,TotalTests,Tests/1M pop,Continent
USA,"40,520,784","+7,766","662,945 ",+92,"31,201,272","+1,437","8,656,567","25,656","121,584","1,989","588,598,687","1,766,115",North America
India,"32,908,089","+5,744","439,965 ",+49,"32,063,616","+7,531","404,508","8,944","23,575",315,"526,535,068","377,211",Asia
Brazil,"20,830,712",,"582,004 ",,"19,801,725",,"446,983","8,318","97,191","2,716","56,897,224","265,470",South America
Russia,"6,975,174","+18,856","185,611 ",+799,"6,236,738","+18,690","552,825","2,300","47,773","1,271","180,000,000","1,232,812",Europe
UK,"6,862,904",,"132,920 ",,"5,533,227",,"1,196,757","1,030","100,477","1,946","271,963,982","3,981,717",Europe
France,"6,799,240",,"114,680 ",,"6,335,183","+24,324","349,377","2,270","103,896","1,752","127,464,573","1,947,732",Europe
Turkey,"6,435,773",,"57,283 ",,"5,872,385",,"506,105",633,"75,361",671,"77,045,381","902,173",Asia
Argentina,"5,195,601",,"112,195 ",,"4,884,418",,"198,988","2,497","113,737","2,456","22,307,283","488,331",South America
Iran,"5,083,133","+27,621","109,549 ",+561,"4,302,011","+32,503","671,573","7,795","59,627","1,285","29,227,907","342,853",Asia
Colombia,"4,913,031",,"125,097 ",,"4,742,640",,"45,294",542,"95,368","2,428","24,268,743","471,084",South America
Spain,"4,871,444",,"84,640 ",,"4,399,864",,"386,940","1,491","104,144","1,809","60,618,810","1,295,939",Europe
Italy,"4,553,241",,"129,352 ",,"4,286,991",,"136,898",555,"75,438","2,143","84,632,503","1,402,182",Europe
Indonesia,"4,116,890","+7,797","134,930 ",+574,"3,813,643","+15,544","168,317",,"14,868",487,"32,833,137","118,572",Asia
Germany,"3,987,108","+3,125","92,805 ",+11,"3,757,600","+6,900","136,703","1,217","47,411","1,104","68,329,706","812,506",Europe
Mexico,"3,387,885","+18,138","261,496 ",+993,"2,727,659","+12,616","398,730","4,798","25,958","2,004","9,852,284","75,487",North America
Poland,"2,889,773",+349,"75,372 ",+5,"2,657,274",+97,"157,127",58,"76,453","1,994","19,819,235","524,345",Europe
South Africa,"2,796,405",,"82,914 ",,"2,568,465",,"145,026",546,"46,466","1,378","16,593,467","275,720",Africa
Ukraine,"2,293,541","+2,693","53,922 ",+45,"2,210,866","+1,112","28,753",177,"52,815","1,242","12,055,523","277,611",Europe
Peru,"2,152,118",,"198,364 ",,N/A,N/A,N/A,"1,237","64,226","5,920","16,840,906","502,588",South America
Philippines,"2,040,568","+20,310","33,873 ",+193,"1,847,701","+7,710","158,994","3,050","18,336",304,"18,963,226","170,402",Asia
Netherlands,"1,949,195","+2,540","18,026 ",+9,"1,856,839","+2,758","74,330",214,"113,462","1,049","16,593,808","965,922",Europe
Iraq,"1,908,079","+5,672","20,994 ",+60,"1,756,586","+7,828","130,499",940,"46,228",509,"14,470,680","350,591",Asia
Malaysia,"1,805,382","+19,378","17,521 ",+330,"1,528,672","+22,399","259,189",975,"54,958",533,"23,162,221","705,080",Asia
Czechia,"1,680,046",+306,"30,405 ",+1,"1,647,382",+7,"2,259",10,"156,542","2,833","36,219,289","3,374,814",Europe
Chile,"1,639,698",,"36,995 ",,"1,596,763",,"5,940",635,"84,923","1,916","20,382,963","1,055,671",South America
Japan,"1,524,679","+18,228","16,184 ",+61,"1,296,746","+18,806","211,749","2,221","12,098",128,"22,160,932","175,848",Asia
Bangladesh,"1,510,283","+3,167","26,432 ",+70,"1,442,582","+4,697","41,269","1,453","9,065",159,"9,021,102","54,146",Asia
Canada,"1,507,053",,"26,991 ",,"1,446,567",,"33,495",405,"39,525",708,"40,693,199","1,067,249",North America
Thailand,"1,249,140","+14,653","12,374 ",+271,"1,076,966","+18,262","159,800","5,174","17,844",177,"8,129,670","116,130",Asia
Belgium,"1,189,710","+2,204","25,392 ",+10,"1,103,638",,"60,680",192,"102,133","2,180","18,779,255","1,612,142",Europe
Pakistan,"1,171,578","+3,787","26,035 ",+57,"1,055,467","+6,595","90,076","5,606","5,186",115,"17,931,365","79,378",Asia
Sweden,"1,130,525",,"14,651 ",,"1,089,055",+852,"26,819",50,"111,131","1,440","11,757,024","1,155,717",Europe
Romania,"1,103,198","+1,520","34,650 ",+33,"1,057,522",+600,"11,026",345,"57,797","1,815","11,621,866","608,879",Europe
Israel,"1,101,406","+2,679","7,122 ",,"1,002,348","+3,013","91,936",667,"118,101",764,"19,534,264","2,094,603",Asia
Portugal,"1,044,144","+1,822","17,772 ",+6,"983,063","+2,464","43,309",136,"102,751","1,749","17,102,741","1,683,028",Europe
Morocco,"872,351",,"12,819 ",,"807,433",,"52,099","1,161","23,311",343,"9,060,570","242,120",Africa
Hungary,"813,040",+247,"30,061 ",+1,"777,988",+79,"4,991",19,"84,414","3,121","6,606,051","685,871",Europe
Kazakhstan,"803,601","+4,930","9,591 ",+96,"701,641","+10,161","92,369",221,"42,208",504,"11,575,012","607,958",Asia
Jordan,"798,984",,"10,442 ",,"776,925",,"11,617",552,"77,409","1,012","9,316,366","902,614",Asia
Switzerland,"788,813","+3,121","11,010 ",,"710,815","+1,026","66,988",272,"90,371","1,261","9,865,479","1,130,242",Europe
Serbia,"773,426","+3,623","7,339 ",+17,"724,722",+802,"41,365",87,"88,939",844,"5,074,749","583,563",Europe
Nepal,"767,271","+1,357","10,809 ",+23,"723,456","+2,274","33,006",,"25,792",363,"3,946,189","132,652",Asia
UAE,"721,308",+978,"2,044 ",+1,"709,659","+1,504","9,605",,"71,915",204,"75,586,106","7,535,974",Asia
Austria,"693,416","+1,753","10,785 ",+7,"665,894","+1,312","16,737",149,"76,481","1,190","77,537,962","8,552,128",Europe
Cuba,"672,599","+6,927","5,538 ",+74,"634,872","+7,630","32,189",415,"59,425",489,"8,100,659","715,699",North America
Tunisia,"668,051",,"23,647 ",,"622,353",,"22,051",504,"55,842","1,977","2,616,244","218,692",Africa
Lebanon,"604,409",,"8,070 ",,"556,294",,"40,045",54,"89,019","1,189","4,759,054","700,929",Asia
Greece,"593,668",,"13,702 ",,"543,570",,"36,396",362,"57,285","1,322","15,731,791","1,518,013",Europe
Georgia,"559,943","+3,034","7,649 ",+86,"506,486","+3,952","45,808",,"140,682","1,922","8,167,255","2,051,971",Asia
Saudi Arabia,"544,985",+174,"8,565 ",+5,"533,632",+202,"2,788",803,"15,375",242,"27,620,409","779,203",Asia
Ecuador,"502,146",,"32,296 ",,"443,880",,"25,970",759,"27,965","1,799","1,772,699","98,725",South America
Vietnam,"501,649","+14,922","12,476 ",+338,"270,668","+11,344","218,505",,"5,100",127,"16,083,797","163,515",Asia
Bolivia,"491,759",+419,"18,486 ",+13,"437,636","+1,140","35,637",220,"41,467","1,559","2,303,209","194,216",South America
Belarus,"487,017","+1,950","3,814 ",+11,"479,229","+1,547","3,974",,"51,560",404,"7,859,365","832,059",Europe
Guatemala,"479,376",,"12,098 ",,"416,180",,"51,098",5,"26,192",661,"2,226,033","121,626",North America
Costa Rica,"469,565",,"5,540 ",,"375,472",,"88,553",450,"91,204","1,076","2,006,420","389,709",North America
Bulgaria,"459,051",,"19,001 ",,"407,029",,"33,021",333,"66,653","2,759","4,276,501","620,939",Europe
